,affiliate,date,employer,localization,title,topic,url
0,État,26 Juin. 19,Centre national d'art et de culture Georges Pompidou,Paris (75),Chargé.e de communication (CDD)  H/F,Communication et valorisation des organisations,https://www.place-emploi-public.gouv.fr/offre-emploi/chargee-de-communication-cdd--hf-reference-2019-203566
1,État,26 Juin. 19,Centre national d'enseignement à  distance,Isère (38),Gestionnaire de la propriété intellectuelle,Éducation • Formation tout au long de la vie,https://www.place-emploi-public.gouv.fr/offre-emploi/gestionnaire-de-la-propriete-intellectuelle-reference-2019-217321
2,Fonction publique,26 Juin. 19,SRHC/Apprentissage,Corrèze (19 ),Technicien sécurité et sûreté des denrées alimentaires - Contrôle interne H/F,-,https://www.place-emploi-public.gouv.fr/offre-emploi/technicien-securite-et-surete-des-denrees-alimentaires---controle-interne-hf-reference-2019-216070
3,Fonction publique,26 Juin. 19,SRHC/Apprentissage,Aude (11),CUISINIER H/F,-,https://www.place-emploi-public.gouv.fr/offre-emploi/cuisinier-hf-reference-2019-216072
4,État,26 Juin. 19,Université Paris 13,Seine Saint-Denis (93),Chargé-e de la GPEEC,Ressources humaines,https://www.place-emploi-public.gouv.fr/offre-emploi/charge-e-de-la-gpeec-reference-2019-217268
5,État,26 Juin. 19,Direction Interrégionale des services pénitentiaires Centre Est Dijon,Cote d'Or (21),Analyste veilleur,Justice,https://www.place-emploi-public.gouv.fr/offre-emploi/analyste-veilleur-reference-2019-217319
6,État,26 Juin. 19,Université de Caen Basse-Normandie,Calvados (14),ENSEIGNANT D'ESPAGNOL,Éducation • Formation tout au long de la vie,https://www.place-emploi-public.gouv.fr/offre-emploi/enseignant-d-espagnol-reference-2019-217318
7,État,26 Juin. 19,Rectorat de l'académie de Toulouse,Haute Garonne (31),Assistant(e) du pôle administratif et comptable ,Gestion budgétaire et financière,https://www.place-emploi-public.gouv.fr/offre-emploi/assistante-du-pole-administratif-et-comptable--reference-2019-217316
8,État,26 Juin. 19,INSERM-Délégation Régionale Paris 6,Paris (75),"Assistant-e ingénieur-e en biologie, sciences de la vie et de la terre",Laboratoires,https://www.place-emploi-public.gouv.fr/offre-emploi/assistant-e-ingenieur-e-en-biologie-sciences-de-la-vie-et-de-la-terre-reference-2019-217317
9,État,26 Juin. 19,Université Reims-Champagne-Ardenne,Marne (51),Assistant du Doyen de Médecine (H/F),Administration générale,https://www.place-emploi-public.gouv.fr/offre-emploi/assistant-du-doyen-de-medecine-hf-reference-2019-215346
10,État,26 Juin. 19,Centre national de gestion,Paris (75),Responsable du système d'information,Numérique • Systèmes d’information et de communication,https://www.place-emploi-public.gouv.fr/offre-emploi/responsable-du-systeme-d-information-reference-2019-199394
11,État,26 Juin. 19,Réseau des acheteurs hospitaliers,Paris (75),ACHETEUR(SE) MARCHES PUBLICS SENIOR (H/F),Achat,https://www.place-emploi-public.gouv.fr/offre-emploi/acheteurse-marches-publics-senior-hf-reference-2019-182418
12,État,26 Juin. 19,Rectorat de Paris,Paris (75),gestionnaire en appui des opérations d'affectations et accueil du public,Éducation • Formation tout au long de la vie,https://www.place-emploi-public.gouv.fr/offre-emploi/gestionnaire-en-appui-des-operations-d-affectations-et-accueil-du-public-reference-2019-182348
13,État,26 Juin. 19,Ecole normale supérieure,Paris (75),Chargé d'études et d'évaluation H/F,Enseignement supérieur • Recherche • Développement,https://www.place-emploi-public.gouv.fr/offre-emploi/charge-d-etudes-et-d-evaluation-hf-reference-2019-174181
14,État,26 Juin. 19,Centre national de gestion,Paris (75),Gestionnaire ressources humaines au Département de gestion des praticiens hospitaliers - CDD de 5 mois -,Ressources humaines,https://www.place-emploi-public.gouv.fr/offre-emploi/gestionnaire-ressources-humaines-au-departement-de-gestion-des-praticiens-hospitaliers---cdd-de-5-mois---reference-2019-173977
15,État,26 Juin. 19,Sciences Po Lille / IEP Lille,Nord (59),Gestionnaire des ressources humaines F/H (personnels enseignants et enseignants-chercheurs),Ressources humaines,https://www.place-emploi-public.gouv.fr/offre-emploi/gestionnaire-des-ressources-humaines-fh-personnels-enseignants-et-enseignants-chercheurs-reference-2019-173894
16,État,26 Juin. 19,Ecole normale supérieure,Paris (75),Secrétaire pédagogique du master géosciences - PSL  (H/F),Enseignement supérieur • Recherche • Développement,https://www.place-emploi-public.gouv.fr/offre-emploi/secretaire-pedagogique-du-master-geosciences---psl--hf-reference-2019-158617
17,État,26 Juin. 19,Ecole normale supérieure,Paris (75), Gestionnaire administratif et financier (H/F),Administration générale,https://www.place-emploi-public.gouv.fr/offre-emploi/-gestionnaire-administratif-et-financier-hf-reference-2019-216092
18,État,26 Juin. 19,Sciences Po Lille / IEP Lille,Nord (59),"Chargée, chargé de développement de la formation continue",Enseignement supérieur • Recherche • Développement,https://www.place-emploi-public.gouv.fr/offre-emploi/chargee-charge-de-developpement-de-la-formation-continue-reference-2019-201635
19,État,26 Juin. 19,Centre national de gestion,Paris (75),Responsable du système d'information,Numérique • Systèmes d’information et de communication,https://www.place-emploi-public.gouv.fr/offre-emploi/responsable-du-systeme-d-information-reference-2019-201607
20,État,26 Juin. 19,Direction des systèmes d'information,Paris (75),Directeur de projet SI stratégique des Déclarations Sociales Nominatives et futur hébergement cloud,Numérique • Systèmes d’information et de communication,https://www.place-emploi-public.gouv.fr/offre-emploi/directeur-de-projet-si-strategique-des-declarations-sociales-nominatives-et-futur-hebergement-cloud-reference-2019-201546
21,État,26 Juin. 19,Délégation à  l'information et à  la communication,Paris (75),GESTIONNAIRE BUDGETAIRE – CHARGE DE L'EXECUTION DE LA DEPENSE PUBLIQUE,Finances publiques,https://www.place-emploi-public.gouv.fr/offre-emploi/gestionnaire-budgetaire--charge-de-l-execution-de-la-depense-publique-reference-2019-201468
22,État,26 Juin. 19,Direction des Ressources Humaines,Paris (75),Gestionnaire d'effectifs,Ressources humaines,https://www.place-emploi-public.gouv.fr/offre-emploi/gestionnaire-d-effectifs-reference-2019-201466
23,État,26 Juin. 19,Délégation à  l'information et à  la communication,Paris (75),Assistant.e de direction,Administration générale,https://www.place-emploi-public.gouv.fr/offre-emploi/assistante-de-direction-reference-2019-201453
24,État,26 Juin. 19,Direction générale à l'emploi et à la formation professionnelle,Paris (75),Chargé ou chargée de mission référent géographique et thématique insertion et accès à l'emploi,Élaboration et pilotage des politiques publiques,https://www.place-emploi-public.gouv.fr/offre-emploi/charge-ou-chargee-de-mission-referent-geographique-et-thematique-insertion-et-acces-a-l-emploi-reference-2019-201431
